0b01110110
0b01DDDSSS
0b00DDD110
0b00000010
0b00010010
0b00001010
0b00011010
0b00110010
0b00111010
0b11111001
0b00100010
0b00PR0001
0b00101010
0b11Pp0001
0b11Pp0101
0b11101011
0b11100011
0b10CALSSS
0b00RRR100
0b00RRR101
0b11CAL110
0b00PR1001
0b00PR0011
0b00PR1011
0b00101111
0b00111111
0b00110111
0b11000011
0b11CCC010
0b11101001
0b11001101
0b11CCC100
0b11001001
0b11CCC000
0b11ttt111
0b00000000
0b11110011
0b11111011
0b11010011
0b11011011
0b00000111
0b00010111
0b00001111
0b00011111
0b00100111
